update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0
8,0,0,1,1,0,0,0,0,0
9,0,0,1,1,0,0,0,0,0
10,0,0,1,1,0,0,0,0,0
11,0,0,1,1,0,0,0,0,0
12,0,0,1,1,0,0,0,1,0
13,0,0,1,1,0,0,0,1,0
14,0,0,1,1,0,0,0,1,0
15,0,0,1,1,0,0,0,1,0
16,0,0,1,1,0,0,0,1,0
17,0,0,1,1,1,0,1,1,0
18,0,0,1,1,1,0,1,1,0
19,0,0,1,1,1,0,1,1,0
20,0,0,1,1,1,0,1,1,0
21,0,0,1,1,1,1,1,1,0
22,0,0,1,1,1,1,1,1,0
23,0,0,1,1,1,1,1,1,1
24,0,0,1,1,1,1,1,2,1
25,0,0,1,1,1,1,1,2,1
26,0,0,2,2,1,1,2,2,1
27,0,0,2,2,1,1,2,2,1
28,0,0,2,2,1,1,2,2,1
29,0,0,2,2,1,1,2,2,2
30,0,0,2,2,1,1,3,2,3
31,0,0,2,2,1,1,3,2,3
32,0,0,2,2,1,1,3,2,4
33,0,0,2,3,2,1,4,2,4
34,0,0,3,3,2,1,4,2,4
35,0,0,3,3,2,1,4,2,4
36,0,0,3,4,2,1,4,2,4
37,0,0,3,4,3,1,4,3,4
38,0,0,3,4,3,1,4,3,4
39,0,0,3,4,3,1,4,3,4
40,0,0,3,4,3,1,5,3,4
41,0,0,3,4,3,1,5,3,4
42,0,0,3,4,3,1,6,3,4
43,0,0,3,5,3,1,6,3,5
44,0,0,3,5,3,1,6,3,5
45,0,0,3,5,3,1,6,3,5
46,0,0,3,5,3,1,6,3,5
47,0,0,4,5,3,1,6,3,5
48,0,0,4,5,3,2,6,3,5
49,0,0,4,6,3,2,6,3,5
50,0,0,5,6,3,2,6,3,5
51,0,0,5,6,3,2,6,3,5
52,0,0,5,6,3,2,6,3,5
53,0,0,5,5,3,2,6,3,5
54,0,0,5,5,3,1,8,3,5
55,0,0,4,5,3,1,8,3,6
56,0,0,5,4,3,1,8,3,6
57,0,0,5,4,3,1,9,3,6
58,0,0,5,4,3,1,9,3,6
59,0,0,5,4,3,1,9,3,6
60,0,0,5,4,3,1,9,3,6
61,0,0,5,4,3,1,10,3,6
62,0,0,6,2,3,1,10,3,6
63,0,0,6,3,3,1,10,2,6
64,0,0,6,4,3,1,10,2,6
65,0,0,6,4,3,1,9,2,6
66,0,0,6,4,3,1,9,2,6
67,0,0,6,4,3,1,9,2,6
68,0,0,6,5,3,1,9,2,6
69,0,0,6,4,3,1,9,2,6
70,0,0,6,4,3,1,9,2,7
71,0,0,6,4,3,1,9,2,7
72,0,0,6,4,3,1,9,2,7
