update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
4,0,0,0,3,0,0,0,0,1
5,0,0,0,3,0,0,0,0,1
6,0,0,0,3,0,0,1,0,1
7,0,0,0,3,2,0,1,0,1
8,0,0,0,3,2,0,1,0,1
9,0,0,1,3,2,0,1,0,1
10,0,0,3,3,2,0,1,0,1
11,0,0,3,3,2,0,2,0,1
12,0,0,3,3,2,0,2,0,1
13,0,0,3,4,2,0,2,1,1
14,0,0,3,4,2,0,3,1,1
15,0,0,3,4,2,0,3,1,1
16,0,0,3,4,2,0,3,1,1
17,0,0,3,4,2,0,3,1,1
18,0,0,3,4,2,0,3,1,1
19,0,0,3,4,2,0,3,1,1
20,0,0,3,4,2,0,3,1,1
21,0,0,3,4,2,0,3,1,2
22,0,0,3,4,2,0,3,1,2
23,0,0,3,4,2,0,3,1,2
24,0,0,3,4,2,0,3,1,2
25,0,0,4,4,2,0,3,1,2
26,0,0,4,4,3,0,3,1,2
27,0,0,4,4,3,0,3,1,2
28,0,0,4,4,3,1,4,1,3
29,0,0,4,4,4,1,5,1,3
30,0,0,4,5,4,1,5,1,3
31,0,0,4,4,4,1,5,1,3
32,0,0,4,4,4,1,6,1,3
33,0,0,4,5,4,1,6,1,3
34,0,0,4,6,4,1,6,1,3
35,0,0,4,6,3,1,6,1,3
36,0,0,4,6,3,1,6,1,3
37,0,0,4,6,3,1,6,1,3
38,0,0,5,6,3,2,6,1,3
39,0,0,5,6,4,2,6,1,3
40,0,0,4,6,3,2,6,1,3
41,0,0,4,6,3,2,6,1,3
42,0,0,4,6,3,2,7,1,3
43,0,0,4,5,3,2,8,1,3
44,0,0,4,5,3,2,8,1,3
45,0,0,4,5,3,2,8,1,3
46,0,0,4,5,3,2,8,1,3
47,0,0,4,6,3,2,9,1,3
48,0,0,4,6,3,2,10,1,3
49,0,0,4,5,3,2,10,1,3
50,0,0,4,5,3,2,10,1,3
51,0,0,4,6,3,2,9,1,3
52,0,0,4,7,3,2,10,1,3
53,0,0,4,7,3,2,10,1,3
54,0,0,5,7,3,2,10,1,3
55,0,0,5,7,3,2,10,1,3
56,0,0,5,6,3,2,10,1,3
57,0,0,6,6,3,2,10,1,3
58,0,0,6,6,4,2,10,1,3
59,0,0,6,6,4,2,10,1,3
60,0,0,6,6,4,2,10,1,3
61,0,0,6,6,5,2,10,1,3
62,0,0,6,6,5,2,10,1,3
63,0,0,6,5,5,2,10,1,3
64,0,0,7,5,5,2,11,1,3
65,0,0,7,5,5,2,11,1,3
66,0,0,7,5,5,2,11,1,3
67,0,0,7,5,5,2,11,1,3
68,0,0,7,5,6,3,11,1,3
69,0,0,7,5,6,3,11,1,3
70,0,0,7,5,6,3,11,1,3
71,0,0,7,5,6,3,11,1,3
72,0,0,6,4,5,3,12,1,3
