update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0
5,0,0,0,2,0,0,0,0,1
6,0,0,0,2,0,0,0,0,1
7,0,0,0,2,0,0,1,0,1
8,0,0,0,3,0,0,1,0,1
9,0,0,0,3,0,0,1,0,1
10,0,0,1,3,0,0,1,0,1
11,0,0,1,3,0,0,1,0,1
12,0,0,1,3,0,0,1,0,1
13,0,0,1,3,0,0,1,0,1
14,0,0,1,3,0,0,1,0,1
15,0,0,1,3,0,0,1,0,1
16,0,0,1,3,0,0,1,0,1
17,0,0,1,3,0,0,1,0,1
18,0,0,1,4,0,0,1,0,1
19,0,0,1,4,0,0,1,0,1
20,0,0,2,4,0,0,2,0,1
21,0,0,2,4,1,0,2,0,2
22,0,0,2,4,1,1,2,0,2
23,0,0,2,4,1,1,2,0,2
24,0,0,2,4,1,1,2,0,2
25,0,0,2,4,1,1,2,0,2
26,0,0,2,4,1,1,2,0,2
27,0,0,2,4,1,1,2,0,2
28,0,0,2,4,1,1,3,0,2
29,0,0,3,4,1,1,4,0,2
30,0,0,3,4,1,1,4,0,2
31,0,0,3,4,1,1,4,0,3
32,0,0,3,4,1,1,4,0,3
33,0,0,3,4,1,1,4,0,3
34,0,0,3,4,1,1,5,0,3
35,0,0,3,4,2,1,5,0,3
36,0,0,3,4,2,1,5,0,3
37,0,0,3,4,2,1,5,0,3
38,0,0,3,4,2,1,5,0,2
39,0,0,3,4,2,1,5,0,2
40,0,0,3,4,2,1,5,0,2
41,0,0,3,4,2,1,5,0,2
42,0,0,3,4,2,1,5,0,1
43,0,0,3,4,2,1,5,0,1
44,0,0,4,4,2,1,5,0,1
45,0,0,4,4,1,1,5,0,1
46,0,0,4,4,1,1,5,1,1
47,0,0,4,4,1,1,5,1,1
48,0,0,4,4,1,1,5,1,1
49,0,0,4,4,1,2,5,1,1
50,0,0,4,4,1,2,5,1,1
51,0,0,4,4,1,2,6,1,1
52,0,0,4,4,1,2,6,1,1
53,0,0,4,4,1,2,5,1,1
54,0,0,4,4,1,2,5,1,1
55,0,0,4,4,1,2,5,1,1
56,0,0,4,4,1,2,6,1,2
57,0,0,4,4,1,2,6,1,2
58,0,0,4,4,1,2,6,1,3
59,0,0,6,4,1,2,5,1,3
60,0,0,6,5,1,2,5,1,3
61,0,0,6,5,1,2,5,1,3
62,0,0,6,5,1,2,6,1,3
63,0,0,6,5,1,2,6,1,4
64,0,0,6,5,1,2,6,1,4
65,0,0,6,5,1,2,6,1,5
66,0,0,6,5,1,3,6,1,5
67,0,0,6,5,1,3,7,1,5
68,0,0,6,5,1,3,7,1,5
69,0,0,6,5,1,3,7,1,5
70,0,0,6,6,1,3,7,1,5
71,0,0,6,6,1,3,7,1,5
72,0,0,6,7,1,3,7,1,5
