update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
4,0,0,0,1,0,0,0,0,1
5,0,0,0,1,0,0,0,0,1
6,0,0,0,2,0,0,0,0,2
7,0,0,0,2,0,0,0,0,2
8,0,0,0,2,0,0,0,1,2
9,0,0,0,2,0,0,0,1,2
10,0,0,0,2,0,0,0,1,2
11,0,0,0,2,0,0,0,1,2
12,0,0,0,2,0,0,0,1,2
13,0,0,0,2,0,0,0,1,2
14,0,0,0,2,0,0,0,1,2
15,0,0,0,2,0,0,0,1,3
16,0,0,0,2,0,0,0,1,4
17,0,0,1,2,0,0,0,1,4
18,0,0,1,3,0,0,0,1,4
19,0,0,1,3,0,0,1,1,4
20,0,0,1,3,0,0,1,1,4
21,0,0,1,3,0,0,1,1,4
22,0,0,2,3,0,0,1,1,4
23,0,0,2,3,0,1,1,1,4
24,0,0,2,3,0,1,1,1,4
25,0,0,2,3,0,1,1,1,4
26,0,0,2,3,0,1,1,1,4
27,0,0,2,3,0,2,1,1,4
28,0,0,2,3,0,2,1,1,4
29,0,0,2,3,0,2,1,1,4
30,0,0,2,4,0,2,1,1,4
31,0,0,2,4,0,2,1,1,4
32,0,0,3,4,0,2,1,1,4
33,0,0,3,4,0,2,1,1,4
34,0,0,3,5,0,2,1,1,4
35,0,0,3,5,0,2,1,1,4
36,0,0,3,5,0,2,2,1,4
37,0,0,3,5,0,2,2,1,4
38,0,0,3,5,0,2,2,1,4
39,0,0,3,5,0,2,2,1,4
40,0,0,3,5,0,2,2,1,4
41,0,0,3,4,0,2,2,1,4
42,0,0,3,4,0,2,2,1,4
43,0,0,2,4,0,2,2,1,4
44,0,0,2,4,0,2,2,1,3
45,0,0,2,4,0,2,3,1,3
46,0,0,2,5,1,2,3,1,3
47,0,0,3,5,1,2,3,2,3
48,0,0,4,5,1,2,3,2,3
49,0,0,4,5,1,2,3,2,3
50,0,0,4,6,1,2,3,2,3
51,0,0,4,6,1,2,4,2,3
52,0,0,4,5,1,2,4,2,3
53,0,0,4,5,1,2,4,2,2
54,0,0,4,5,1,2,4,2,2
55,0,0,4,5,1,2,4,2,2
56,0,0,4,5,1,2,5,2,2
57,0,0,4,5,1,2,5,2,2
58,0,0,4,5,1,2,6,2,2
59,0,0,4,6,1,3,6,2,2
60,0,0,4,6,1,2,6,2,2
61,0,0,4,6,1,2,6,2,2
62,0,0,4,6,1,2,6,2,2
63,0,0,4,6,1,2,6,2,2
64,0,0,4,6,1,2,6,2,2
65,0,0,4,5,1,2,6,2,2
66,0,0,4,5,1,2,6,2,2
67,0,0,4,4,1,2,6,2,2
68,0,0,4,4,1,2,6,2,3
69,0,0,4,4,1,2,6,2,3
70,0,0,3,5,1,2,6,2,3
71,0,0,3,5,1,2,6,2,4
72,0,0,3,5,1,2,7,2,4
73,0,0,3,4,1,2,8,2,4
74,0,0,3,4,1,2,8,2,4
75,0,0,3,4,1,3,7,2,4
76,0,0,3,4,1,3,7,2,4
77,0,0,4,5,1,3,7,2,4
78,0,0,4,5,1,3,7,2,4
79,0,0,5,5,1,3,7,2,4
80,0,0,5,5,1,3,6,1,4
81,0,0,5,5,1,4,6,1,4
82,0,0,5,5,1,4,6,1,4
83,0,0,5,5,1,4,6,1,4
84,0,0,6,5,1,4,7,1,4
85,0,0,6,5,1,5,8,1,4
86,0,0,6,5,1,5,8,1,4
87,0,0,6,5,1,5,8,1,4
88,0,0,6,5,1,5,8,1,4
89,0,0,6,5,1,5,9,1,4
90,0,0,6,5,1,5,9,1,4
91,0,0,6,5,2,5,8,1,4
92,0,0,5,5,2,5,7,1,4
93,0,0,5,5,2,5,7,1,4
94,0,0,5,5,2,5,8,1,4
95,0,0,5,5,2,5,8,1,4
96,0,0,5,5,2,5,9,1,5
97,0,0,5,6,2,5,9,1,4
98,0,0,5,6,2,5,9,1,4
99,0,0,5,6,2,5,9,2,4
100,0,0,5,6,2,5,9,2,3
101,0,0,5,6,2,5,8,2,3
102,0,0,5,6,3,5,7,2,2
103,0,0,6,6,3,5,7,2,2
104,0,0,6,7,3,5,7,2,2
105,0,0,6,8,3,5,7,2,2
106,0,0,6,9,3,5,7,2,2
107,0,0,6,8,3,5,7,2,2
108,0,0,6,8,3,5,7,2,2
109,0,0,6,7,3,5,8,2,2
110,0,0,5,7,2,5,9,3,3
111,0,0,5,7,2,6,9,4,2
112,0,0,5,7,2,7,7,4,1
113,0,0,5,7,2,7,8,4,1
114,0,0,5,8,2,7,8,4,1
115,0,0,5,8,2,7,8,4,1
116,0,0,5,8,2,7,7,4,1
117,0,0,5,8,2,7,7,4,1
118,0,0,6,8,2,7,7,4,1
119,0,0,6,7,2,7,7,4,1
120,0,0,6,7,2,7,7,4,1
121,0,0,6,7,2,7,7,4,1
122,0,0,6,7,2,7,8,4,1
123,0,0,6,7,2,7,8,4,1
124,0,0,6,7,2,7,8,4,1
125,0,0,6,7,2,7,8,4,1
126,0,0,5,8,2,7,8,4,1
127,0,0,5,7,2,7,8,4,1
128,0,0,4,7,2,7,8,4,1
129,0,0,4,6,2,7,8,4,1
130,0,0,4,6,2,7,8,4,1
131,0,0,3,6,2,7,7,4,1
132,0,0,3,6,2,7,6,4,1
133,0,0,3,6,2,7,6,4,1
134,0,0,3,6,2,7,6,4,2
135,0,0,3,5,2,7,6,4,2
136,0,0,2,5,2,6,6,4,2
137,0,0,2,5,2,6,6,4,3
138,0,0,2,5,2,6,6,4,3
139,0,0,2,5,2,6,6,4,3
140,0,0,2,5,2,6,6,3,3
141,0,0,2,5,2,5,6,3,3
142,0,0,2,5,2,5,6,3,3
143,0,0,2,5,2,5,7,3,3
144,0,0,2,6,1,5,7,3,3
145,0,0,2,6,1,5,7,3,3
146,0,0,2,6,1,6,6,2,3
147,0,0,2,6,1,5,7,2,4
148,0,0,2,5,1,5,7,2,4
149,0,0,2,5,1,5,7,2,5
150,0,0,3,5,1,5,8,2,5
151,0,0,3,5,1,5,9,2,5
152,0,0,3,5,1,5,9,2,4
153,0,0,3,5,1,5,10,2,4
154,0,0,3,5,1,5,10,2,4
155,0,0,3,5,1,5,10,3,5
156,0,0,3,5,1,4,9,4,5
157,0,0,3,5,1,4,9,4,4
158,0,0,4,6,1,4,9,4,4
159,0,0,4,6,1,4,8,4,4
160,0,0,4,6,1,5,8,4,4
161,0,0,4,6,1,5,8,4,4
162,0,0,4,6,1,5,8,5,4
163,0,0,3,6,1,5,8,5,4
164,0,0,2,6,1,4,8,5,4
165,0,0,2,6,2,4,8,5,4
166,0,0,2,6,2,4,9,5,5
167,0,0,2,6,2,4,9,5,5
168,0,0,2,6,2,4,9,6,5
169,0,0,2,8,2,4,10,6,5
170,0,0,2,8,2,3,11,6,5
171,0,0,2,8,2,4,11,6,5
172,0,0,2,8,3,4,10,6,5
173,0,0,3,8,3,4,10,6,5
174,0,0,3,11,4,4,9,5,5
175,0,0,4,11,4,3,9,5,5
176,0,0,4,11,4,3,9,5,5
177,0,0,4,11,5,3,9,5,5
178,0,0,4,11,5,3,9,5,5
179,0,0,4,11,5,4,9,5,5
180,0,0,5,11,5,4,10,6,5
181,0,0,6,11,5,3,10,6,5
182,0,0,6,10,5,3,10,6,5
183,0,0,6,9,5,3,11,6,5
184,0,0,6,9,5,4,12,6,5
185,0,0,6,9,5,5,11,6,5
186,0,0,6,10,5,5,10,5,5
187,0,0,7,10,4,5,9,4,5
188,0,0,9,10,4,5,10,4,5
189,0,0,10,9,4,5,10,4,5
190,0,0,10,9,4,5,10,4,5
191,0,0,10,9,4,5,9,4,4
192,0,0,11,9,4,5,9,4,3
193,0,0,12,9,4,5,9,4,3
194,0,0,12,9,4,5,8,4,3
195,0,0,12,9,4,5,8,4,3
196,0,0,13,9,4,5,8,4,4
197,0,0,13,8,4,4,8,4,4
198,0,0,14,9,5,4,8,4,4
199,0,0,14,11,5,4,8,4,4
200,0,0,14,10,5,4,10,4,4
201,0,0,14,10,5,4,10,4,4
202,0,0,14,11,4,2,10,4,5
203,0,0,13,12,4,2,10,4,6
204,0,0,12,12,4,2,10,5,6
205,0,0,14,12,4,2,10,5,6
206,0,0,14,12,4,2,11,5,6
207,0,0,14,12,4,3,11,5,6
208,0,0,13,13,4,3,12,5,7
209,0,0,13,14,4,2,12,5,7
210,0,0,12,15,4,2,13,5,7
211,0,0,14,16,4,3,13,5,7
212,0,0,14,15,4,3,14,5,7
213,0,0,14,15,4,3,14,5,7
214,0,0,16,15,4,3,15,4,7
215,0,0,16,14,2,3,15,4,7
216,0,0,16,15,2,3,15,4,7
217,0,0,16,13,2,3,16,4,7
218,0,0,15,13,2,3,16,4,8
219,0,0,16,13,2,3,16,4,8
