update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
2,0,0,0,2,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0
5,0,0,0,2,0,0,0,0,0
6,0,0,0,2,0,0,0,0,0
7,0,0,0,2,0,0,1,0,0
8,0,0,0,2,0,0,1,0,0
9,0,0,0,2,0,0,1,1,0
10,0,0,0,2,0,0,1,1,0
11,0,0,0,2,0,0,1,1,1
12,0,0,0,2,0,0,1,1,2
13,0,0,0,2,0,0,2,1,3
14,0,0,0,3,0,0,2,1,3
15,0,0,2,3,0,0,2,2,3
16,0,0,2,3,0,1,2,2,3
17,0,0,2,3,2,1,2,2,3
18,0,0,2,3,2,1,2,2,3
19,0,0,2,3,2,1,2,2,3
20,0,0,2,4,2,1,2,2,3
21,0,0,2,4,2,1,2,2,3
22,0,0,2,4,2,1,2,2,3
23,0,0,2,4,2,1,2,2,3
24,0,0,2,4,2,1,2,2,3
25,0,0,2,4,2,1,2,2,3
26,0,0,2,4,2,1,2,2,3
27,0,0,2,4,2,1,4,2,4
28,0,0,2,4,2,1,4,2,4
29,0,0,2,4,2,1,4,2,4
30,0,0,2,4,2,1,4,2,4
31,0,0,2,4,2,1,4,2,4
32,0,0,3,5,2,1,4,2,4
33,0,0,3,5,2,1,4,2,4
34,0,0,3,5,2,1,4,2,4
35,0,0,3,5,2,1,4,2,4
36,0,0,3,5,2,1,4,2,4
37,0,0,3,6,2,1,4,1,4
38,0,0,4,7,2,1,4,1,5
39,0,0,6,7,2,1,4,1,5
40,0,0,6,7,2,1,4,1,5
41,0,0,6,8,2,1,5,1,5
42,0,0,5,8,2,1,5,1,5
43,0,0,5,8,2,1,6,1,5
44,0,0,6,8,2,2,6,1,5
45,0,0,6,8,4,2,6,1,5
46,0,0,6,8,5,2,6,1,5
47,0,0,7,9,5,2,6,1,6
48,0,0,7,9,5,2,6,1,6
49,0,0,7,10,5,2,6,1,6
50,0,0,7,10,5,2,6,1,6
51,0,0,7,9,5,2,6,1,6
52,0,0,7,9,5,2,6,1,6
53,0,0,7,8,5,2,6,1,6
54,0,0,7,9,5,2,6,1,6
55,0,0,7,9,5,2,6,1,6
56,0,0,7,9,5,2,6,1,6
57,0,0,7,9,5,2,6,1,6
58,0,0,7,9,5,2,6,1,6
59,0,0,7,10,4,2,6,1,7
60,0,0,7,10,4,2,6,1,7
61,0,0,7,10,4,2,6,1,7
62,0,0,7,10,4,2,6,1,7
63,0,0,8,10,4,2,6,1,7
64,0,0,8,10,4,2,6,1,7
65,0,0,8,10,4,2,6,2,7
66,0,0,8,10,4,2,6,2,8
67,0,0,8,10,4,2,6,2,8
68,0,0,8,10,4,2,7,2,8
69,0,0,8,10,4,2,7,2,8
70,0,0,9,10,4,2,7,2,8
71,0,0,9,9,4,2,7,2,8
72,0,0,10,8,5,2,7,2,8
73,0,0,8,8,4,2,7,2,8
74,0,0,7,9,4,2,7,2,8
75,0,0,7,9,4,2,7,2,8
76,0,0,7,9,4,2,9,2,8
77,0,0,7,9,4,1,8,2,8
78,0,0,7,9,4,1,8,2,9
79,0,0,7,9,4,1,8,2,8
80,0,0,8,10,4,1,8,3,7
81,0,0,9,10,4,1,8,3,7
82,0,0,9,10,4,1,8,4,7
83,0,0,9,10,4,1,8,4,8
84,0,0,9,11,4,1,8,3,7
85,0,0,9,11,4,1,7,3,7
86,0,0,9,12,4,2,7,3,8
87,0,0,8,12,4,2,7,3,8
88,0,0,8,12,4,2,7,3,8
89,0,0,8,12,5,2,7,3,8
90,0,0,9,12,5,2,7,3,8
91,0,0,10,12,5,2,7,3,9
92,0,0,10,12,5,2,8,2,9
93,0,0,11,11,5,3,8,2,9
94,0,0,11,11,5,3,8,3,9
95,0,0,11,11,4,3,8,3,9
96,0,0,11,11,4,3,8,3,9
97,0,0,12,11,4,3,8,3,9
98,0,0,12,11,4,3,8,4,9
99,0,0,12,12,4,3,9,4,9
100,0,0,11,12,4,4,9,4,9
101,0,0,11,12,4,5,9,4,9
102,0,0,11,13,4,5,10,4,9
103,0,0,12,13,4,6,10,4,9
104,0,0,12,13,4,6,10,4,9
105,0,0,12,13,4,6,12,4,8
106,0,0,12,13,4,6,12,4,8
107,0,0,12,14,4,7,12,4,8
108,0,0,12,14,5,7,13,4,8
109,0,0,12,14,5,7,13,4,7
110,0,0,12,13,6,7,14,4,7
111,0,0,12,14,6,7,14,4,7
112,0,0,12,14,6,7,15,4,7
113,0,0,12,14,6,7,15,4,6
114,0,0,12,14,6,7,15,4,7
115,0,0,13,12,6,7,16,3,7
116,0,0,12,12,6,7,16,3,7
117,0,0,12,12,5,7,16,3,7
118,0,0,12,12,5,6,16,3,7
119,0,0,12,12,5,6,16,3,7
120,0,0,11,12,5,6,17,4,7
121,0,0,11,11,5,6,16,4,7
122,0,0,11,12,5,6,17,4,6
123,0,0,10,13,4,6,17,3,6
124,0,0,10,13,4,6,18,3,6
125,0,0,10,12,4,6,18,3,6
126,0,0,10,13,4,6,16,3,5
127,0,0,10,13,4,6,16,3,5
128,0,0,10,13,4,6,16,3,5
129,0,0,10,13,4,6,17,3,5
130,0,0,10,12,4,6,17,3,5
131,0,0,10,12,4,6,17,3,6
132,0,0,10,11,4,6,18,3,7
133,0,0,10,10,4,6,18,3,7
134,0,0,9,10,3,6,18,3,7
135,0,0,9,11,3,6,17,3,7
136,0,0,9,12,3,7,16,3,7
137,0,0,9,12,3,7,16,3,7
138,0,0,8,13,3,8,17,3,7
139,0,0,9,13,3,8,18,3,8
140,0,0,9,14,3,8,18,3,7
141,0,0,7,14,3,8,18,3,7
142,0,0,6,14,3,8,18,3,7
143,0,0,6,14,3,8,19,3,7
144,0,0,6,14,4,8,19,3,7
145,0,0,6,14,4,8,19,3,8
146,0,0,5,14,4,8,19,3,8
147,0,0,5,15,4,8,19,3,8
148,0,0,5,15,4,7,19,3,8
149,0,0,5,14,4,7,19,3,8
150,0,0,6,13,4,7,19,3,8
151,0,0,6,12,4,7,19,3,9
152,0,0,6,12,5,7,18,3,9
153,0,0,6,13,5,7,18,3,9
154,0,0,6,13,5,7,20,4,9
155,0,0,6,13,5,7,20,4,9
156,0,0,6,11,5,7,20,4,9
157,0,0,6,11,5,7,20,4,9
158,0,0,6,11,5,7,21,4,9
159,0,0,6,11,5,7,21,4,8
160,0,0,6,11,4,7,21,5,8
161,0,0,7,11,4,7,21,5,8
162,0,0,7,11,5,7,20,5,8
163,0,0,8,11,5,7,20,5,8
164,0,0,8,11,5,7,19,5,8
165,0,0,8,10,5,7,19,5,8
166,0,0,8,10,5,7,19,5,8
167,0,0,9,11,5,7,20,5,8
168,0,0,9,11,5,7,17,5,9
169,0,0,9,12,4,7,18,5,9
170,0,0,9,13,4,7,18,6,8
171,0,0,9,13,4,7,18,6,8
172,0,0,9,13,5,7,17,6,8
173,0,0,9,13,5,7,17,6,8
174,0,0,9,13,5,7,18,5,8
175,0,0,9,13,5,6,19,5,8
176,0,0,9,13,5,5,20,5,8
177,0,0,9,13,5,5,20,5,8
178,0,0,10,13,5,5,20,5,8
179,0,0,10,12,5,5,22,5,9
180,0,0,10,13,5,5,21,5,8
181,0,0,10,12,5,5,21,5,11
182,0,0,10,12,5,5,21,5,11
183,0,0,10,12,5,6,21,5,12
184,0,0,10,13,5,6,22,6,12
185,0,0,11,11,5,5,22,6,13
186,0,0,11,11,5,5,22,6,15
187,0,0,11,11,5,6,21,6,15
188,0,0,11,11,5,6,21,6,15
189,0,0,12,11,5,5,20,6,16
190,0,0,11,11,6,5,20,6,16
191,0,0,11,11,6,5,20,6,17
192,0,0,11,11,6,4,20,5,17
193,0,0,11,11,6,5,20,5,17
194,0,0,11,11,6,5,21,5,17
195,0,0,11,11,6,5,21,5,17
196,0,0,11,12,6,5,21,5,17
197,0,0,12,12,6,5,22,5,17
198,0,0,12,12,6,5,22,5,17
199,0,0,13,11,6,5,23,5,17
200,0,0,14,11,6,5,23,5,17
201,0,0,15,10,6,5,23,5,17
202,0,0,15,11,7,5,23,5,17
203,0,0,14,11,7,5,23,5,18
204,0,0,13,10,7,5,23,5,18
205,0,0,13,9,7,5,22,5,18
206,0,0,13,9,7,5,22,5,18
207,0,0,13,9,6,5,22,5,17
208,0,0,13,9,6,5,22,5,17
209,0,0,14,9,6,5,22,5,17
210,0,0,14,9,6,4,23,6,17
211,0,0,14,9,6,4,23,6,17
212,0,0,14,9,5,4,24,6,15
213,0,0,14,8,5,4,24,6,15
214,0,0,14,8,5,4,24,6,16
215,0,0,14,8,5,4,24,6,16
216,0,0,14,8,5,4,24,6,16
217,0,0,14,7,5,4,24,6,16
218,0,0,14,6,5,4,26,6,15
219,0,0,14,6,5,4,26,6,15
