update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
157,0,0,24,18,8,3,20,9,13
158,0,0,24,18,9,3,21,10,12
159,0,0,23,18,9,3,21,10,12
160,0,0,23,17,9,3,21,10,11
161,0,0,23,17,9,4,21,10,11
162,0,0,23,17,9,4,21,10,11
163,0,0,23,17,9,4,21,10,11
164,0,0,23,17,9,4,21,10,9
165,0,0,23,17,9,5,22,10,9
166,0,0,22,18,8,5,20,10,9
167,0,0,22,19,8,5,20,10,9
168,0,0,22,19,8,5,20,10,10
169,0,0,22,19,8,5,20,11,11
170,0,0,21,19,8,4,20,11,12
171,0,0,21,19,8,4,19,11,12
172,0,0,21,18,8,4,19,11,12
173,0,0,21,18,9,4,19,11,12
174,0,0,21,19,9,4,18,11,11
175,0,0,21,19,9,4,17,11,10
176,0,0,19,19,8,4,17,11,10
177,0,0,19,19,8,4,17,11,10
178,0,0,20,19,8,4,17,11,10
179,0,0,20,18,8,4,17,11,10
180,0,0,20,18,7,4,17,11,10
181,0,0,20,18,7,4,16,11,10
182,0,0,20,19,7,5,17,11,10
183,0,0,21,20,7,5,18,11,11
184,0,0,21,19,8,4,17,10,11
185,0,0,22,20,8,4,16,10,11
186,0,0,22,19,8,4,14,10,10
187,0,0,22,19,7,4,17,10,10
188,0,0,23,19,7,4,16,10,10
189,0,0,23,19,7,4,16,10,10
190,0,0,23,18,7,4,17,10,10
191,0,0,22,18,7,4,18,9,10
192,0,0,21,18,7,4,18,9,9
193,0,0,21,20,7,4,21,9,9
194,0,0,21,20,7,4,21,9,9
195,0,0,21,20,7,4,21,9,9
196,0,0,22,20,7,4,21,10,9
197,0,0,25,20,7,4,21,10,8
198,0,0,25,20,7,4,21,9,7
199,0,0,26,21,6,4,20,8,7
200,0,0,25,20,7,4,20,7,7
201,0,0,25,21,7,4,20,7,7
202,0,0,25,21,7,4,20,7,7
203,0,0,25,21,7,4,20,7,6
204,0,0,25,21,7,4,19,7,6
205,0,0,25,21,7,4,21,7,6
206,0,0,25,21,7,4,20,9,6
207,0,0,24,22,7,4,20,9,6
208,0,0,23,23,7,4,20,9,6
209,0,0,22,22,7,5,20,9,6
210,0,0,22,20,7,5,20,9,6
211,0,0,22,19,7,5,20,9,7
212,0,0,23,19,7,5,21,9,7
213,0,0,24,21,7,5,20,7,7
214,0,0,25,21,7,5,19,6,7
215,0,0,25,21,6,5,20,5,7
216,0,0,25,21,7,5,20,5,8
217,0,0,25,20,7,5,18,5,8
218,0,0,25,20,7,5,18,5,8
219,0,0,26,20,7,5,18,5,8
220,0,0,25,21,7,5,18,6,8
221,0,0,25,20,7,4,17,6,8
222,0,0,25,20,7,4,17,6,9
223,0,0,25,20,7,4,18,6,9
224,0,0,25,21,7,4,19,6,9
225,0,0,26,21,7,5,19,6,9
226,0,0,26,21,7,5,18,7,9
227,0,0,27,20,8,4,19,7,9
228,0,0,27,20,8,4,19,7,8
229,0,0,27,20,8,4,18,7,8
230,0,0,26,20,8,4,19,7,8
231,0,0,27,20,8,4,20,7,7
232,0,0,27,19,8,4,20,7,7
233,0,0,27,19,7,4,19,7,6
234,0,0,27,19,7,5,18,7,7
235,0,0,26,19,7,5,19,7,7
236,0,0,26,19,7,4,19,7,7
237,0,0,27,20,7,4,19,7,5
238,0,0,27,20,7,4,19,7,5
239,0,0,26,21,7,4,19,7,5
240,0,0,26,21,7,4,20,9,5
241,0,0,26,21,7,4,21,9,5
242,0,0,26,22,7,4,20,9,5
243,0,0,26,21,7,4,21,9,5
244,0,0,26,22,7,4,20,10,5
245,0,0,27,22,7,4,20,10,5
246,0,0,27,21,7,4,20,10,5
247,0,0,29,21,7,4,20,10,5
248,0,0,29,22,7,3,20,10,5
249,0,0,29,22,7,3,20,10,6
250,0,1,29,22,7,3,20,10,6
251,0,1,28,21,7,3,20,10,6
252,0,1,26,20,7,3,20,9,6
253,0,1,26,20,7,4,20,9,6
254,0,1,26,20,7,4,20,9,7
255,0,1,25,20,8,4,20,9,7
256,0,1,26,20,8,4,21,9,9
257,0,1,26,20,8,5,21,9,9
258,0,1,27,19,8,5,20,9,8
259,0,1,26,20,8,5,20,9,9
260,0,1,25,21,8,5,21,9,9
261,0,1,25,21,8,5,22,9,9
262,0,1,23,22,7,5,22,10,9
263,0,1,23,22,7,5,20,8,9
264,0,1,23,22,6,5,20,8,9
265,0,1,23,22,6,5,21,9,9
266,0,1,23,22,6,5,21,9,9
267,0,1,22,22,6,5,21,9,8
268,0,1,23,23,6,5,21,9,8
269,0,1,23,23,6,5,19,9,8
270,0,1,22,23,6,5,20,9,7
271,0,1,22,21,6,4,19,9,7
272,0,1,23,20,6,4,19,9,7
273,0,1,23,20,6,4,18,9,7
274,0,1,23,20,6,4,18,10,7
275,0,1,23,20,6,4,18,10,7
276,0,1,23,20,6,4,19,10,7
277,0,1,22,19,7,4,19,10,7
278,0,1,21,20,7,4,20,10,8
279,0,1,21,20,7,4,20,10,8
280,0,1,21,20,7,4,20,10,8
281,0,1,21,21,7,3,20,10,8
282,0,1,20,21,6,3,21,11,8
283,0,1,20,22,6,3,21,11,8
284,0,1,21,23,5,2,21,11,7
285,0,1,20,23,5,2,20,10,7
286,0,1,20,24,5,2,18,10,7
287,0,1,20,24,5,2,17,9,7
288,0,1,21,23,5,2,16,9,7
289,0,1,21,23,5,3,16,9,6
290,0,1,21,23,5,3,16,10,5
291,0,1,21,22,5,3,16,11,5
292,0,1,23,23,5,3,15,10,5
293,0,1,22,22,5,3,15,8,5
294,0,1,22,22,5,3,17,7,5
295,0,1,21,22,5,3,17,7,5
296,0,1,22,21,6,3,17,7,5
297,0,1,21,21,6,3,17,7,5
298,0,1,22,23,6,3,17,6,5
299,0,1,22,24,6,3,17,6,5
300,0,1,21,24,7,3,16,6,5
301,0,1,20,23,7,2,16,6,5
302,0,1,21,23,6,2,16,6,5
303,0,1,22,25,6,2,16,6,6
304,0,1,21,24,6,2,16,6,7
305,0,1,20,23,6,2,17,6,7
306,0,1,20,23,6,2,18,6,7
307,0,1,20,22,7,2,19,6,7
308,0,1,20,22,7,2,19,6,8
309,0,1,19,22,7,2,19,6,8
310,0,1,18,22,6,2,20,6,8
311,0,1,17,21,6,2,19,6,8
312,0,1,16,20,6,2,17,6,8
313,0,1,15,20,6,2,17,6,8
314,0,1,15,20,6,2,17,6,8
315,0,1,16,20,6,2,16,6,8
316,0,1,16,20,6,2,16,6,8
317,0,1,16,20,5,2,16,6,8
318,0,1,16,22,6,2,16,6,8
319,0,1,16,22,6,2,15,6,9
320,0,1,16,22,6,2,17,6,9
321,0,1,16,23,6,2,18,6,9
322,0,1,16,25,6,1,18,6,9
323,0,1,16,25,6,1,18,6,9
324,0,1,16,25,6,1,18,6,8
325,0,1,15,24,6,1,19,6,8
326,0,1,15,21,6,1,22,6,8
327,0,1,15,22,6,1,22,6,8
328,0,1,15,21,6,1,21,6,9
329,0,1,14,21,6,1,22,6,8
330,0,1,13,21,6,1,23,6,9
331,0,1,13,21,6,1,25,6,9
332,0,1,13,20,6,1,23,6,9
333,0,1,14,20,6,2,23,7,10
334,0,1,14,20,7,2,22,6,8
335,0,1,14,21,6,2,21,6,9
336,0,1,14,20,6,2,20,6,9
337,0,1,14,21,6,3,18,5,9
338,0,1,14,21,6,3,19,5,9
339,0,1,15,21,6,3,19,5,10
340,0,1,14,21,5,2,19,5,10
341,0,1,14,21,5,1,19,5,11
342,0,1,14,19,4,1,19,5,10
343,0,1,14,20,4,1,20,5,11
344,0,1,14,19,4,2,21,5,12
345,0,1,15,19,4,3,21,5,12
346,0,1,15,20,4,3,19,5,12
347,0,1,15,19,4,3,19,5,12
348,0,1,14,19,4,4,19,5,11
349,0,1,15,19,4,3,20,5,11
350,0,1,14,19,4,3,21,5,11
351,0,1,14,18,4,3,22,5,11
352,0,1,14,18,4,3,21,4,11
353,0,1,14,17,4,3,21,4,11
354,0,0,14,18,4,3,22,4,11
355,0,0,15,19,4,3,21,4,11
356,0,0,15,18,4,4,20,4,11
357,0,0,15,19,4,4,20,5,11
358,0,0,14,19,4,4,21,5,11
359,0,0,15,19,4,4,22,5,11
360,0,0,15,18,4,4,22,6,11
361,0,0,15,17,4,4,22,6,10
362,0,0,16,18,4,4,23,6,10
363,0,0,15,18,4,4,24,6,9
364,0,0,16,18,4,4,25,7,9
365,0,0,16,17,4,4,25,7,9
366,0,0,16,17,4,4,26,8,9
367,0,0,17,17,4,4,24,8,9
368,0,0,16,16,4,4,24,8,9
369,0,0,15,17,3,4,23,8,9
370,0,0,14,18,3,4,23,8,9
371,0,0,14,18,3,4,25,8,8
372,0,0,14,17,3,4,23,8,7
373,0,0,14,18,3,5,23,8,7
374,0,0,15,18,3,5,23,8,7
375,0,0,16,18,3,4,23,7,7
376,0,0,17,17,4,4,23,7,7
377,0,0,19,16,3,4,24,7,7
378,0,0,18,17,3,4,23,7,7
379,0,0,17,18,4,4,22,6,7
380,0,0,17,18,4,4,23,6,7
381,0,0,18,18,4,4,23,6,7
382,0,0,18,17,4,4,22,7,7
383,0,0,20,18,4,4,22,7,7
384,0,0,20,19,4,4,21,7,7
385,0,0,20,19,4,4,20,7,8
386,0,0,20,19,4,4,19,7,6
387,0,0,20,19,4,4,19,7,6
388,0,0,20,19,4,4,20,7,6
389,0,0,21,19,4,3,20,8,6
390,0,0,21,19,4,3,19,8,6
391,0,0,21,18,4,3,19,8,6
392,0,0,21,16,4,3,19,8,6
393,0,0,22,16,4,3,19,8,6
394,0,0,21,16,4,3,20,7,5
395,0,0,20,16,4,3,19,6,7
396,0,0,20,16,4,3,17,6,7
397,0,0,18,14,4,3,16,5,7
398,0,0,17,14,4,3,16,5,7
399,0,0,17,14,4,3,15,5,7
400,0,0,17,14,3,3,16,5,7
401,0,1,17,15,3,2,14,5,7
402,0,1,17,13,3,2,12,5,7
403,0,1,17,14,3,2,12,5,7
404,0,1,17,14,3,2,12,5,7
405,0,1,17,13,3,2,13,5,7
406,0,1,16,14,3,2,14,5,6
407,0,1,17,14,3,2,14,5,6
408,0,1,18,14,3,2,14,5,7
409,0,1,18,15,3,2,16,5,7
410,0,1,17,16,3,2,14,5,7
411,0,1,17,15,3,2,14,5,7
412,0,1,15,15,3,2,15,6,7
413,0,1,14,13,3,2,15,6,6
414,0,1,13,13,3,2,15,7,6
415,0,1,14,13,3,2,15,7,6
416,0,1,13,12,3,2,15,7,6
417,0,1,13,12,3,2,17,7,6
418,0,0,13,13,3,2,18,7,7
419,0,0,13,13,3,2,18,6,6
420,0,0,13,12,3,2,17,6,6
421,0,0,15,12,3,2,16,7,8
422,0,0,15,12,4,2,17,7,8
423,0,0,15,12,5,3,17,7,8
424,0,0,15,12,4,3,17,7,8
425,0,0,15,12,4,3,18,7,9
426,0,0,14,11,3,3,19,7,9
427,0,0,13,12,3,3,19,7,9
428,0,0,13,12,2,3,18,7,9
429,0,0,13,11,3,3,18,7,9
430,0,0,13,11,3,3,18,7,9
431,0,0,9,10,2,3,17,7,9
432,0,0,9,10,2,2,18,7,9
433,0,0,9,10,2,2,20,7,8
434,0,0,9,11,2,2,19,8,8
435,0,0,12,13,2,2,21,8,7
436,0,0,12,15,2,2,21,8,7
437,0,0,12,13,2,2,22,8,7
438,0,0,12,13,2,2,21,8,7
439,0,0,13,14,2,2,23,8,7
440,0,0,13,15,2,2,22,8,7
441,0,0,14,17,2,2,24,8,7
442,0,0,15,17,2,3,24,7,7
443,0,0,14,16,2,3,23,6,7
444,0,0,13,16,2,3,23,6,7
445,0,0,14,16,2,3,23,6,6
446,0,0,14,16,2,3,24,6,6
447,0,0,15,16,2,4,23,6,6
448,0,0,16,15,2,3,21,6,6
449,0,0,16,14,2,3,19,6,6
450,0,0,15,14,2,3,19,6,6
451,0,0,16,15,2,3,18,6,5
452,0,0,16,16,2,3,17,6,5
453,0,0,15,16,2,3,17,5,5
454,0,0,15,16,2,3,18,6,5
455,0,0,17,16,2,3,18,5,6
456,0,0,17,18,2,4,17,5,6
457,0,0,17,18,2,4,18,5,6
458,0,0,17,19,2,4,19,5,7
459,0,0,17,20,2,4,20,5,7
460,0,0,17,20,2,4,20,5,7
461,0,0,17,20,2,4,19,5,7
462,0,0,17,20,2,3,22,5,8
463,0,0,17,21,2,3,21,5,8
464,0,0,17,19,1,3,23,4,8
465,0,0,17,18,1,3,23,4,10
466,0,0,16,17,1,3,22,4,10
467,0,0,16,17,1,3,22,4,10
468,0,0,17,19,1,3,22,4,10
469,0,0,17,19,1,2,22,5,10
470,0,0,17,19,1,2,21,5,11
471,0,0,16,19,1,3,20,6,11
472,0,0,16,19,2,3,20,6,11
473,0,0,17,18,1,3,19,6,12
474,0,0,17,19,1,3,19,6,11
475,0,0,17,18,1,3,20,6,10
476,0,0,18,17,1,4,20,5,11
477,0,0,15,18,1,4,21,5,11
478,0,0,14,17,1,4,22,5,11
479,0,0,14,17,1,4,23,4,11
480,0,0,13,18,1,4,23,4,12
481,0,0,13,16,1,3,23,4,12
482,0,0,13,18,1,4,23,4,12
483,0,0,12,17,1,4,22,4,12
484,0,0,11,19,1,4,21,3,11
485,0,0,10,18,1,4,21,3,11
486,0,0,11,18,1,4,22,2,10
487,0,0,10,18,1,4,22,2,9
488,0,0,10,18,1,3,22,1,9
489,0,0,10,18,1,3,22,1,9
490,0,0,10,18,1,3,22,1,8
491,0,0,9,19,1,3,23,1,8
492,0,0,10,19,2,3,24,1,8
493,0,0,10,19,2,3,23,1,8
494,0,0,11,19,3,3,23,1,8
495,0,0,10,18,3,3,23,1,9
496,0,0,9,18,3,3,23,1,8
497,0,0,10,18,3,3,21,1,8
498,0,0,10,17,3,3,21,1,8
499,0,0,10,17,3,3,20,1,8
500,0,0,10,16,3,3,18,1,8
501,0,0,10,17,4,2,18,1,8
502,0,0,11,17,4,2,17,1,8
503,0,0,11,19,4,3,16,1,8
504,0,0,11,18,4,3,15,1,8
505,0,0,12,18,4,3,15,1,9
506,0,0,12,21,4,3,16,1,9
507,0,0,11,21,3,3,17,1,9
508,0,0,10,20,3,3,17,1,9
509,0,0,9,20,2,3,17,1,10
510,0,0,10,19,2,3,16,1,10
511,0,0,10,18,2,3,15,1,10
512,0,0,10,16,2,3,15,1,10
513,0,0,10,17,2,3,15,1,12
514,0,0,10,17,2,3,14,1,13
515,0,0,10,16,2,3,14,1,13
516,0,0,10,17,2,3,13,0,13
517,0,0,8,18,1,3,15,0,13
518,0,0,9,17,1,4,15,0,13
519,0,0,9,17,1,4,16,0,13
520,0,0,9,16,3,4,19,0,13
521,0,0,10,17,3,4,21,0,10
522,0,0,10,18,3,4,20,0,9
523,0,0,12,18,3,4,19,0,8
524,0,0,12,18,3,3,19,0,7
525,0,0,11,19,3,3,19,0,7
526,0,0,12,19,2,3,19,0,7
527,0,0,12,21,2,3,21,0,7
528,0,0,13,22,2,3,20,0,7
529,0,0,13,21,2,3,21,0,7
530,0,0,9,21,1,3,23,0,7
531,0,0,10,22,1,4,23,0,7
532,0,0,10,21,1,4,23,0,7
533,0,0,10,21,1,4,26,0,7
534,0,0,9,23,2,4,26,0,7
535,0,0,9,22,2,4,25,0,6
536,0,0,10,20,2,5,24,0,6
537,0,0,10,20,2,5,25,0,6
538,0,0,11,20,3,5,25,0,6
539,0,0,12,20,3,5,25,0,6
540,0,0,12,20,5,5,25,0,6
541,0,0,13,20,5,5,26,0,5
542,0,0,13,20,5,4,26,0,5
543,0,0,11,21,5,3,25,0,5
544,0,0,11,21,5,3,26,0,5
545,0,0,12,19,4,3,25,0,5
546,0,0,13,19,4,3,27,0,6
547,0,0,12,19,5,3,27,0,6
548,0,0,12,19,5,3,26,0,6
549,0,0,13,17,5,4,26,0,5
550,0,0,13,17,5,4,23,0,6
551,0,0,13,16,5,3,21,0,6
552,0,0,11,19,5,3,21,0,6
553,0,0,10,18,5,3,21,0,6
554,0,0,11,18,5,3,20,0,6
555,0,0,11,20,5,3,22,0,6
556,0,0,10,20,5,3,22,0,7
557,0,0,10,21,5,3,21,0,7
558,0,0,10,21,5,3,21,0,7
559,0,0,10,18,5,3,20,0,7
