update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0
5,0,0,0,3,0,0,0,0,0
6,0,0,0,4,0,0,0,0,0
7,0,0,0,4,0,0,0,0,0
8,0,0,0,4,0,0,0,0,0
9,0,0,1,5,0,0,0,0,0
10,0,0,1,5,0,0,0,0,0
11,0,0,1,5,0,0,1,0,0
12,0,0,1,6,0,0,1,0,0
13,0,0,1,6,0,0,1,0,1
14,0,0,1,6,0,0,1,0,1
15,0,0,1,6,0,0,2,0,1
16,0,0,1,6,0,0,2,0,1
17,0,0,1,6,0,0,2,1,1
18,0,0,1,6,0,0,3,1,2
19,0,0,1,7,0,0,3,1,2
20,0,0,1,7,0,0,3,1,2
21,0,0,1,7,0,0,3,1,3
22,0,0,1,7,0,1,3,1,3
23,0,0,1,7,0,1,3,1,3
24,0,0,1,7,1,1,3,1,3
25,0,0,1,8,1,1,3,1,3
26,0,0,1,8,1,1,3,1,3
27,0,0,1,8,1,1,3,1,3
28,0,0,1,9,1,1,3,1,3
29,0,0,1,9,1,1,3,1,4
30,0,0,1,9,1,1,3,1,6
31,0,0,1,9,1,1,4,1,6
32,0,0,1,9,1,1,4,2,6
33,0,0,1,9,1,1,5,3,7
34,0,0,1,9,1,1,5,3,7
35,0,0,1,9,1,1,5,3,7
36,0,0,1,9,1,1,5,3,8
37,0,0,1,10,1,1,6,3,8
38,0,0,1,10,1,2,6,3,8
39,0,0,1,10,1,3,6,3,8
40,0,0,1,10,1,2,6,3,8
41,0,0,1,10,1,2,6,3,8
42,0,0,1,10,1,2,6,3,8
43,0,0,1,9,1,2,6,2,8
44,0,0,1,9,1,2,7,2,9
45,0,0,2,10,1,2,7,2,9
46,0,0,2,10,1,2,7,2,9
47,0,0,2,11,1,1,7,2,8
48,0,0,2,11,1,1,8,2,8
49,0,0,2,12,1,1,8,2,8
50,0,0,1,13,1,2,9,2,8
51,0,0,1,13,1,2,10,2,8
52,0,0,1,13,1,2,10,2,7
53,0,0,1,14,1,2,10,2,7
54,0,0,2,14,1,2,10,2,7
55,0,0,2,14,1,2,10,4,8
56,0,0,2,14,2,2,10,3,8
57,0,0,2,14,2,2,10,3,8
58,0,0,1,13,2,2,10,3,8
59,0,0,1,12,2,2,11,3,8
60,0,0,1,12,2,2,11,3,8
61,0,0,2,12,2,2,11,3,8
62,0,0,2,13,2,2,11,3,8
63,0,0,2,13,2,2,11,3,8
64,0,0,2,13,2,2,12,3,8
65,0,0,3,13,2,2,12,3,8
66,0,0,3,14,2,2,12,3,8
67,0,0,3,15,2,2,13,3,8
68,0,0,3,14,2,2,14,3,8
69,0,0,3,14,2,2,14,3,8
70,0,0,3,14,2,2,15,3,8
71,0,0,3,14,3,2,15,3,8
72,0,0,3,14,3,2,15,3,8
