update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0
3,0,0,0,2,0,0,2,0,0
4,0,0,0,2,0,0,2,0,0
5,0,0,0,2,0,0,2,0,1
6,0,0,1,2,0,0,2,0,1
7,0,0,1,2,0,0,3,0,1
8,0,0,1,2,0,0,3,0,1
9,0,0,1,2,0,0,4,0,1
10,0,0,1,2,0,0,4,0,1
11,0,0,1,2,0,0,5,0,1
12,0,0,1,2,0,0,5,0,1
13,0,0,1,3,0,0,5,0,1
14,0,0,1,3,1,0,6,0,1
15,0,0,1,3,1,0,6,0,1
16,0,0,1,3,1,0,6,0,1
17,0,0,2,3,1,0,6,0,1
18,0,0,2,3,1,0,7,0,1
19,0,0,3,3,1,0,7,0,1
20,0,0,3,3,1,0,7,0,1
21,0,0,3,3,1,0,7,0,1
22,0,0,3,3,1,0,7,0,2
23,0,0,3,3,2,0,8,0,2
24,0,0,3,3,2,1,8,0,2
25,0,0,3,3,2,1,8,0,2
26,0,0,4,3,2,1,8,0,2
27,0,0,4,3,2,1,8,0,2
28,0,0,4,4,2,1,8,0,2
29,0,0,4,4,2,1,8,0,2
30,0,0,5,4,2,1,8,0,2
31,0,0,5,4,2,1,8,0,2
32,0,0,5,4,2,1,8,0,2
33,0,0,5,4,2,1,8,0,2
34,0,0,5,4,2,1,8,0,2
35,0,0,5,4,2,1,8,0,2
36,0,0,5,4,3,1,8,0,2
37,0,0,5,4,3,1,8,0,2
38,0,0,5,4,3,1,8,0,2
39,0,0,6,4,3,1,8,0,2
40,0,0,6,4,3,1,8,0,2
41,0,0,6,4,3,1,8,0,2
42,0,0,6,4,3,1,8,0,2
43,0,0,6,5,3,1,8,0,3
44,0,0,6,5,3,1,8,1,3
45,0,0,6,4,3,1,7,1,3
46,0,0,6,4,3,1,7,1,3
47,0,0,6,3,3,1,7,1,3
48,0,0,6,4,3,1,7,1,3
49,0,0,6,4,3,1,7,1,3
50,0,0,6,5,3,1,7,1,3
51,0,0,6,5,3,1,7,1,3
52,0,0,6,6,3,1,9,1,3
53,0,0,7,6,3,1,9,1,3
54,0,0,7,6,3,1,9,1,3
55,0,0,7,6,3,2,9,1,3
56,0,0,7,7,3,2,9,2,3
57,0,0,6,7,3,2,9,2,3
58,0,0,7,7,3,3,9,2,3
59,0,0,7,7,3,3,9,2,3
60,0,0,7,8,3,3,10,2,3
61,0,0,7,8,3,3,10,2,3
62,0,0,7,8,3,3,10,3,3
63,0,0,7,8,3,5,10,3,3
64,0,0,7,9,3,5,11,4,3
65,0,0,7,9,3,5,11,4,3
66,0,0,7,9,3,5,12,4,3
67,0,0,7,10,4,5,12,4,3
68,0,0,7,10,4,5,12,5,3
69,0,0,7,9,4,5,12,5,3
70,0,0,8,9,4,5,12,5,4
71,0,0,8,9,4,5,11,5,4
72,0,0,8,9,4,6,12,5,4
